title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
2 Guns,2013-08-02,61000000,131940411,3644,6.525,109,136400,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riddick,2013-09-02,38000000,98337295,3605,6.284,119,87421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
RED 2,2013-07-18,84000000,148100000,3587,6.523,116,146216,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Heat,2013-06-27,43000000,158674180,3569,6.601,117,136795,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring Breakers,2013-01-24,5000000,31724284,3503,5.209,94,122081,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R.I.P.D.,2013-07-18,130000000,61648500,3484,5.8,96,49524,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Begin Again,2013-09-07,8000000,63464861,3420,7.25,104,198277,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
47 Ronin,2013-12-06,175000000,150962475,3365,6.1,119,64686,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Blue Jasmine,2013-08-01,18000000,99206215,3098,6.998,99,160588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Identity Thief,2013-02-07,35000000,173965010,3043,5.837,111,109431,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homefront,2013-11-12,22000000,43058898,3002,6.94,100,204082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Saving Mr. Banks,2013-11-29,35000000,112544580,2998,7.349,125,140823,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Nymphomaniac: Vol. I,2013-12-25,0,13545832,2955,6.892,118,258216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turbo,2013-07-11,135000000,282570682,2848,6.174,96,77950,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Bling Ring,2013-06-12,15000000,19145732,2825,5.407,90,96936,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Side Effects,2013-02-07,30000000,63372757,2760,6.58,106,109421,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cloudy with a Chance of Meatballs 2,2013-09-26,78000000,248384621,2744,6.442,95,109451,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Parker,2013-01-23,35000000,46216641,2705,5.996,118,119283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Butler,2013-08-16,25000000,115922175,2656,7.347,132,132363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful Creatures,2013-02-13,60000000,60052138,2641,5.991,124,109491,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
The Family,2013-09-13,30000000,36894225,2636,6.354,111,112205,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Call,2013-03-14,13000000,68572378,2629,6.8,94,158011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Spectacular Now,2013-08-02,2500000,6854611,2608,6.645,95,157386,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Oculus,2013-09-08,5000000,44459951,2604,6.4,104,157547,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nymphomaniac: Vol. II,2013-12-25,0,4934725,2560,6.769,124,249397,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
The Best Offer,2013-01-01,13500000,19255873,2550,7.8,131,152742,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Scary Movie 5,2013-04-11,20000000,78378744,2473,4.818,86,4258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mud,2013-04-26,10000000,21587700,2458,7.05,130,103731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Last Stand,2013-01-12,30000000,0,2434,5.983,107,76640,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Epic,2013-05-15,100000000,268426634,2431,6.486,102,116711,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Coherence,2013-09-19,0,102617,2370,7.2,89,220289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
